id,company,title,location,source,url,posted_at,keywords,score,status,created_at,updated_at,notes
ab-241ff799-e348-4075-9ed7-e0b9a2975864,ramp,People Operations Analyst,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/241ff799-e348-4075-9ed7-e0b9a2975864,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-3bb6b3b6-343b-4c61-92c8-fe2bd15e27cc,ramp,People Operations Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/3bb6b3b6-343b-4c61-92c8-fe2bd15e27cc,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-6e7b0226-d806-4efb-972c-1e7d0e1690cf,ramp,Principal Product Designer,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/6e7b0226-d806-4efb-972c-1e7d0e1690cf,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-29b679a8-9990-48c1-b91e-001c566ced27,ramp,"Principal Solutions Consultant, Enterprise ","New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/29b679a8-9990-48c1-b91e-001c566ced27,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-5bf4cccf-21da-4a35-b3ed-5978b7d79a72,ramp,Procurement Manager,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/5bf4cccf-21da-4a35-b3ed-5978b7d79a72,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-1d539592-f78a-4c66-a580-00f1c8ad942c,ramp,Product Operations Specialist | AI & Knowledge Systems,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/1d539592-f78a-4c66-a580-00f1c8ad942c,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-facad4ac-e66f-443b-9b4b-c05f90ab8b4e,ramp,Risk Operations Lead | Payments,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/facad4ac-e66f-443b-9b4b-c05f90ab8b4e,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-60c81e62-bb39-487a-8350-2e19ef2a7dbc,ramp,Risk Operations Lead | Underwriting,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/60c81e62-bb39-487a-8350-2e19ef2a7dbc,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-07a5bc8d-8425-4697-84b3-b46a7f34e882,ramp,Risk Operations Specialist | Collections,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/07a5bc8d-8425-4697-84b3-b46a7f34e882,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-cca910f6-968f-4d49-8706-15e18ca80157,ramp,Risk Operations Specialist | Underwriting,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/cca910f6-968f-4d49-8706-15e18ca80157,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
